Position,Track Name,Artist,Streams,URL
1,夜に駆ける,YOASOBI,254005,https://open.spotify.com/track/3dPtXHP0oXQ4HCWHsOA9js
2,香水,Eito,217351,https://open.spotify.com/track/2iOvMtA1u9s95NF6mJDOuT
3,感電,"Kenshi Yonezu",207427,https://open.spotify.com/track/1rd3RSjrOShIUG8rG9FvDI
4,Dynamite,BTS,194594,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
5,"Make you happy",NiziU,179678,https://open.spotify.com/track/4FrxgrNbNrdfq8093JaEJf
6,裸の心,Aimyon,178301,https://open.spotify.com/track/11OHUXwYHjsRNysUDdO2JS
7,Pretender,"Official HIGE DANdism",163908,https://open.spotify.com/track/15HNdxGKNCIO9pgaY4n7FU
8,"I Love...","Official HIGE DANdism",161486,https://open.spotify.com/track/4pRqq3MwcqitKqNO8rOrOb
9,Laughter,"Official HIGE DANdism",150989,https://open.spotify.com/track/1SdwlHsv8bWHbAlIw5Jfgo
10,115万キロのフィルム,"Official HIGE DANdism",149500,https://open.spotify.com/track/278JqkBGkjDovOYAwE8TW7
11,Myra,"Tani Yuuki",136831,https://open.spotify.com/track/5wc4f6crkCzAvwNhoEeMhh
12,"Neko - The First Take Version",DISH//,135430,https://open.spotify.com/track/6F0aYmicNttntvth7FXQEx
13,白日,"King Gnu",134088,https://open.spotify.com/track/4wel6DQu0dMVBRVn2ZTPoy
14,"snow jam",Rin音,131658,https://open.spotify.com/track/6uUtmCz8XXep7n1QmC1jJG
15,春を告げる,yama,124502,https://open.spotify.com/track/2Gmyw5Vg2X5YW2lM3OC7nD
16,Lemon,"Kenshi Yonezu",122986,https://open.spotify.com/track/4rvtqOGyTPZJwWtVTNdZbu
17,Shukumei,"Official HIGE DANdism",122704,https://open.spotify.com/track/0XaHPBAzPAC5ubwcRBqc1p
18,Machigaisagashi,"Masaki Suda",115976,https://open.spotify.com/track/4Jj31lihp5Nvdi4lFRjrqc
19,キンモクセイ,オレンジスパイニクラブ,114810,https://open.spotify.com/track/4KyCrwLEWoGHJwobxc55oe
20,たぶん,YOASOBI,114025,https://open.spotify.com/track/62Lv9WcrfzJqhvYDbilJy3
21,マリーゴールド,Aimyon,113481,https://open.spotify.com/track/2cKiHG16JBiqHdi7Llq0r7
22,ハルジオン,YOASOBI,111883,https://open.spotify.com/track/7HneEBTvTra2CRYsxgMOAi
23,"Walking with you",Novelbright,111480,https://open.spotify.com/track/7tGDXCPLpAScEwmqab9YZd
24,Yesterday,"Official HIGE DANdism",111041,https://open.spotify.com/track/1kMlcLyljkrShV0LSdSGBz
25,不可幸力,Vaundy,110772,https://open.spotify.com/track/65e5PmFI3cqoLEJYF3TfCG
26,"Ice Cream (with Selena Gomez)",BLACKPINK,109290,https://open.spotify.com/track/2J4P46vCFm1rPkNkp9pZWX
27,HELLO,"Official HIGE DANdism",106639,https://open.spotify.com/track/2SzXlu48l0sqApK9hBWZtg
28,ノーダウト,"Official HIGE DANdism",104195,https://open.spotify.com/track/5DMEvbg3gUmiR5HIBWdveV
29,馬と鹿,"Kenshi Yonezu",104160,https://open.spotify.com/track/19op3QHIz9Aq5VdwsASXIz
30,パラボラ,"Official HIGE DANdism",102569,https://open.spotify.com/track/51JOzfozDdPMKxyEccRltg
31,ただ君に晴れ,ヨルシカ,102231,https://open.spotify.com/track/3wJHCry960drNlAUGrJLmz
32,"Stay Gold",BTS,102029,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ
33,点描の唄,"Mrs. GREEN APPLE",99944,https://open.spotify.com/track/1sIIlVrnPhrvmTrHtzM7tV
34,Neko,DISH//,99439,https://open.spotify.com/track/3NP2nqAgMELIV3MAhrFNMx
35,Gurenge,LiSA,98801,https://open.spotify.com/track/23DbzwNJSLo7nkSWjODMvY
36,青と夏,"Mrs. GREEN APPLE",98618,https://open.spotify.com/track/5BC6kr6etk2Y9J62AyI4i3
37,ハルノヒ,Aimyon,97343,https://open.spotify.com/track/7GYGVDPbi0zQUBIkuOPAY0
38,"Night Diver",三浦春馬,96053,https://open.spotify.com/track/5hcWlcZE9vFMeaFaTjo1Zf
39,"Not Shy",ITZY,93082,https://open.spotify.com/track/4ecVWqbtW6phQGpZMAyqIU
40,PLACEBO,"Kenshi Yonezu",93074,https://open.spotify.com/track/6MCqARqpbUAGUIvWh8bxaw
41,花に亡霊,ヨルシカ,92098,https://open.spotify.com/track/3FUqp10RhCmMjyyB9extmo
42,僕のこと,"Mrs. GREEN APPLE",90824,https://open.spotify.com/track/0tnhoHUrHfcLi9hPknUFZ4
43,ぎゅっと。,もさを。,89068,https://open.spotify.com/track/6nqfKM9JvQIiuAuzWZFvGW
44,未完成,"Leo Ieiri",83945,https://open.spotify.com/track/10mmoWFRBG9mlLekSWYzWT
45,インフェルノ,"Mrs. GREEN APPLE",83604,https://open.spotify.com/track/2vOAHp8PBBFYqvQUWSoITY
46,Flamingo,"Kenshi Yonezu",82470,https://open.spotify.com/track/3DsNdDIj0sJHBuXIlcPPyz
47,パプリカ,"Kenshi Yonezu",76660,https://open.spotify.com/track/5gZkspRLEDGfqKKKlW0zcv
48,まちがいさがし,"Kenshi Yonezu",76061,https://open.spotify.com/track/4FidnSkTNEEQLmPpueLPd7
49,ピースサイン,"Kenshi Yonezu",73667,https://open.spotify.com/track/5aHfGUxRec6c41luxkDqhX
50,カムパネルラ,"Kenshi Yonezu",73525,https://open.spotify.com/track/2WI2is2NtH0WTs7zfKNpcE
51,群青,YOASOBI,58979,https://open.spotify.com/track/0T4AitQuq8IJhWBWuZwkFA
52,かくれんぼ,優里,55850,https://open.spotify.com/track/0JTjZnuciQH4M3620aMDtZ
53,"How You Like That",BLACKPINK,55092,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
54,"No Regret",wacci,54824,https://open.spotify.com/track/5TIMNeqGc26Ohw0yfcAfGB
55,Hug,空音,53358,https://open.spotify.com/track/4cHB6U8fasfxq7XD8uNxuK
56,君はロックを聴かない,Aimyon,48475,https://open.spotify.com/track/59eluCMn0XbOWqeWQ91FTM
57,"Sayonara Elegy","Masaki Suda",48329,https://open.spotify.com/track/0QKmcZNAST4GytJYmkN05D
58,"Rain On Me (with Ariana Grande)","Lady Gaga",46945,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
59,"Feel Special",TWICE,45134,https://open.spotify.com/track/2HtcPHFdo7eu4Ilbvb0BVI
60,ロマンチシズム,"Mrs. GREEN APPLE",45123,https://open.spotify.com/track/0JcI7OdALbpSFkyKoufRYs
61,us,milet,43958,https://open.spotify.com/track/13KOSEIdzpafSyYCUldj7z
62,怪物さん,"Ken Hirai",42516,https://open.spotify.com/track/1heN1fuesAqx4WRlQFkCLJ
63,Fanfare,TWICE,41974,https://open.spotify.com/track/49moLXpCwwantnF78yItWf
64,"MORE & MORE",TWICE,41664,https://open.spotify.com/track/2bAAj29XGc4h1G4oEGYCmg
65,a.m.3:21,yama,41331,https://open.spotify.com/track/7Mfgvi0WG4y7YDxknVOIS9
66,飛行艇,"King Gnu",40625,https://open.spotify.com/track/6Ea33AvEANARkK2QduzhRm
67,あの夢をなぞって,YOASOBI,40610,https://open.spotify.com/track/4BE1OloRc9xwjyqA4wFFuN
68,打上花火,DAOKO,40279,https://open.spotify.com/track/4IouQaO9GkaHC7AtMErdSa
69,HANABI,Mr.Children,40097,https://open.spotify.com/track/77lmDcPPyY6kK907gdgC6i
70,"Your eyes tell",BTS,39999,https://open.spotify.com/track/3TZ7NHkMT82AhwuYsd00Hz
71,高嶺の花子さん,"back number",39606,https://open.spotify.com/track/2jdbZGFp8KVTuk0YxDNL4l
72,あなたがいることで,Uru,39387,https://open.spotify.com/track/6baeV3RT4kpivo327DC3AM
73,優しさ,"Fujii Kaze",38298,https://open.spotify.com/track/0f3Ce9xjHymExIpEyHUC8D
74,秒針を噛む,ZUTOMAYO,38014,https://open.spotify.com/track/4HgsPAX3MmMgIT60hJ4W4U
75,"Never Grow Up",CHANMINA,37349,https://open.spotify.com/track/5aDgM8rYPT15CqjkN1EIKq
76,だから僕は音楽を辞めた,ヨルシカ,37115,https://open.spotify.com/track/5j7ixaLeGTGSv4DzKs0pCM
77,"Boy With Luv (feat. Halsey)",BTS,36963,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
78,今夜このまま,Aimyon,36815,https://open.spotify.com/track/6kKvmT4i0Dercz6f3kftg3
79,"IN THE SUMMER",ARASHI,36605,https://open.spotify.com/track/7ovHL4kRsRy03qG8E93R2k
80,"Teenager Forever","King Gnu",36548,https://open.spotify.com/track/1jtBcfrVYDtykjyM66hroR
81,第六感,Reol,36506,https://open.spotify.com/track/22sQUmLhT8umlEhQzDrzfJ
82,夜永唄,神はサイコロを振らない,36103,https://open.spotify.com/track/3wGeCSeMbiFUryh5MZ4iNT
83,"Stand By You","Official HIGE DANdism",36012,https://open.spotify.com/track/7Ca8EuTCyU3pjJR4TNOXqs
84,恋人ごっこ,"macaroni enpitsu",35907,https://open.spotify.com/track/2SihT7AVMiI2VtaAyVIcnO
85,朝陽,Aimyon,35215,https://open.spotify.com/track/2N3c4wGis6MNjshZ8X6o4s
86,かつて天才だった俺たちへ,"Creepy Nuts",34784,https://open.spotify.com/track/4qjpey2aljl28C40NmTcgQ
87,"Wherever you are","ONE OK ROCK",34468,https://open.spotify.com/track/7a7EIFzJLd7lcDRgThMQgm
